GEOID20,count
550790033005006,4
550790033005003,4
550790033005004,4
550790033005001,4
550790033005000,4
550790033005005,4
550790033005002,4
550790018003003,2
550790018003009,2
550790018003011,2
550790018003007,2
550790018003010,2
550790018003002,2
550790018003006,2
550790018003005,2
550790018003004,2
550790018003000,2
550790018003001,2
550790018003008,2
550790019002004,2
550790019002001,2
550790019002005,2
550790019002003,2
550790019002002,2
550790019002000,2
550790019002006,2
550790033001003,4
550790033001005,4
550790033001001,4
550790033001004,4
550790033001000,4
550790033001007,4
550790033001006,4
550790033001008,4
550790033001009,4
550790033001002,4
550790014002007,2
550790014002012,2
550790014002002,2
550790014002004,2
550790014002006,2
550790014002014,2
550790014002013,2
550790014002001,2
550790014002003,2
550790014002009,2
550790014002000,2
550790014002008,2
550790014002011,2
550790014002010,2
550790014002005,2
550790011001004,2
550790011001023,2
550790011001026,2
550790011001006,2
550790011001019,2
550790011001021,2
550790011001013,2
550790011001002,2
550790011001028,2
550790011001015,2
550790011001036,2
550790011001003,2
550790011001024,2
550790011001009,2
550790011001040,2
550790011001008,2
550790011001037,2
550790011001034,2
550790011001012,2
550790011001018,2
550790011001031,2
550790011001016,2
550790011001038,2
550790011001033,2
550790011001035,2
550790011001011,2
550790011001010,2
550790011001017,2
550790011001000,2
550790011001025,2
550790011001020,2
550790011001030,2
550790011001029,2
550790011001014,2
550790011001032,2
550790011001005,2
550790011001007,2
550790011001039,2
550790011001022,2
550790011001027,2
550790011001001,2
550790029002002,4
550790029002004,4
550790029002007,4
550790029002001,4
550790029002005,4
550790029002000,4
550790029002003,4
550790029002006,4
550790013002008,2
550790013002001,2
550790013002000,2
550790013002005,2
550790013002011,2
550790013002003,2
550790013002006,2
550790013002010,2
550790013002007,2
550790013002002,2
550790013002004,2
550790013002009,2
550790015002009,2
550790015002012,2
550790015002011,2
550790015002008,2
550790015002002,2
550790015002006,2
550790015002010,2
550790015002005,2
550790015002004,2
550790015002003,2
550790015002000,2
550790015002007,2
550790015002001,2
550790005023001,2
550790005023000,2
550790005023005,2
550790005023004,2
550790005023003,2
550790005023002,2
550790005023006,2
550790013003003,2
