GEOID20,count
550250126001039,6
550250126001085,6
550250126001054,6
550250126001081,6
550250126001029,6
550250126001009,6
550250127002057,10
550499505001099,24
550250126001033,6
550250126001026,6
550250126001055,6
550250126001049,6
550499505001103,24
550250126001059,6
550250126001079,6
550250126001023,6
550250127001114,10
550250126001028,6
550250126001098,6
550250126001013,10
550250126001053,6
550250126001041,6
550250126001046,6
550250126001057,6
550250126001104,6
550250126001092,6
550250126001000,6
550250126001105,6
550250126001047,6
550250126001034,6
550250126001101,6
550250126001005,10
550250126001056,6
550250126001064,6
550250126001042,6
550250126001037,6
550250126001002,10
550250126001017,6
550250126001032,6
550250126001071,6
550250126001088,6
550499505001096,28
550250126001021,6
550250126001066,6
550459602003022,10
550250126001060,6
550250126001050,6
550499505001102,24
550250126001070,6
550250126001022,6
550459602003010,10
550250126001096,6
550250126001018,6
550250126001095,6
550459602003021,10
550250126001024,6
550250126001016,6
550250126001100,6
550250126001106,6
550250126001069,6
550250126001072,6
550250127001111,10
550250126001040,6
550250126001090,6
550250126001010,6
550250126001080,6
550250126001074,6
550250126001011,6
550250126001035,6
550250127001096,10
550459602003009,10
550250126001043,6
550250126001061,6
550250126001073,6
550459602003013,10
550250126001007,10
550250126001062,6
550250126001003,6
550250126001093,6
550250126001045,6
550250126001067,6
550250126001019,6
550250126001099,6
550250126001058,6
550250126001031,6
550459602003011,10
550250126001052,6
550250126001078,6
550250126001087,6
550250126001027,6
550499505003000,24
550250126001044,6
550250126001063,6
550250126001001,10
550459602003024,10
550250126001102,6
550250126001089,6
550250126001030,6
550459602003005,10
550250126001083,6
550250126001025,6
550250126001020,6
550250126001068,6
550250126001004,6
550250126001084,6
550250126001008,10
550250126001012,6
550250126001076,6
550250126001107,6
550250126001091,6
550250126001014,10
550250126001048,6
550250126001038,6
550250126001077,6
550499505001101,24
550250126001051,6
550250126001094,6
550250126001086,6
550250126001082,6
550250126001075,6
550250126001103,6
550250126001097,6
550250126001006,6
550250126001065,6
550250126001036,6
550499505001100,24
550499502001017,21
550499502001010,21
550499502001008,21
550499502001104,21
550499502001075,21
550499502001045,21
550499502001038,21
550499502001069,21
550499502001032,21
550499502001113,21
550499502001014,21
550499502001006,21
550499502001051,21
550499502001081,21
550499502001074,21
550499502001037,21
550499502001067,21
550499502001028,21
550499502001005,21
550499502001105,21
550499502001022,21
550499502001084,21
550499502001088,21
550499502001086,21
550499502001035,21
550499502001114,21
550499502001089,21
550499502001047,21
550499502001048,21
550499502001098,21
550499502001029,21
550499502001085,21
550499502001009,21
550499502001002,21
550499502001019,21
550499502001007,21
550499502001094,21
550499502001120,21
550499502001061,21
550499502001052,21
550499502001068,21
550499502001059,21
550499502001083,21
550499502001054,21
550499502001100,21
550499502001024,21
550499502001065,21
550499502001031,21
550499502001070,21
550499502001091,21
550499502001071,21
550499502001121,21
550499502001119,42
550499502001020,21
550499502001056,21
550499502001112,21
550499502001013,21
550499502001039,21
550499502001092,21
550499502001025,21
550499502001055,21
550499502001015,21
550499502001050,21
550499502001072,21
550499502001099,21
550499502001030,21
550499502001046,21
550499502001026,21
550499502001049,21
550499502001058,21
550499502001106,21
550499502001057,21
550499502001122,21
550499502001062,21
550499502001003,21
550499502001073,21
550499502001053,21
550499502001012,21
550499502001033,21
550499502001079,21
550499502001102,21
550499502001034,21
550499502001027,21
550499502001076,21
550499502001063,21
550499502001018,21
550499502001023,21
550499502001115,21
550499502001116,21
550499502001087,21
550499502001111,21
550499502001097,21
550499502001004,21
550499502001001,21
550499502001064,21
550499502001082,21
550499502001011,21
550499502001093,21
550499502001044,21
550499502001042,21
550499502001078,21
550499502001108,21
550499502001107,21
550499502001110,21
550499502001103,21
550499502001041,21
550499502001118,21
550499502001096,21
550499502001060,21
550499502001117,21
550499502001036,21
550499502001109,21
550499502001043,21
550499502001080,21
550499502001000,21
550499502001101,21
550499502001021,21
550499502001066,21
550499502001016,21
550499502001040,21
550499502001090,21
550499502001077,21
550499502001095,21
550499502001123,21
550659703003065,9
550659703003061,9
550659703003128,9
550659703003002,9
550659703003112,9
550659703003116,9
550659703003104,9
550659703003125,9
550659703003093,9
550659703003052,9
550659703003029,9
550659703003098,9
550659703003081,9
550659703003025,9
550659703003096,9
550659703003079,9
550659703003129,9
550659703003066,9
550659703003127,9
550659703003122,9
550659703003089,9
550659703003099,9
550659703003035,9
550659703003063,9
550659703003022,9
550659703003101,9
550659703003067,9
550659703003119,9
550659703003059,9
550659703003077,9
550659703003032,16
550659703003045,9
550659703003028,9
550659703003091,9
550659703001072,9
550659703003033,9
550659703003106,9
550659703003038,9
550659703003048,9
550659703003012,9
550659703003107,9
550659703003105,9
550659703003074,9
550659703003021,16
550659703003044,9
550659703003114,9
550659703003069,9
550659703003030,9
550659703003055,9
550659703003092,9
550659703003120,9
550659703003117,9
550659703003017,9
550659703003133,9
550659703003078,9
550659703003042,9
550659703003083,9
550659703003132,9
550659703003130,9
550659703003024,9
550659703003057,9
550659703003003,9
550659703003027,16
550659703003118,9
550659703003134,9
550659703003043,9
550659703003115,9
550659703003094,9
550659703003102,9
550659703003005,9
550659703003110,9
550659703003007,9
550659703003086,9
550659703003019,9
550659703003090,9
550659703003050,9
550659703003108,9
550659703003060,9
550659703003135,9
550659703003039,9
550659703003011,9
550659703003026,9
550659703003103,9
550659703003000,9
550659703003073,9
550659703003037,9
550659703003020,16
550659703003072,9
550659703003054,9
550659703003084,9
550659703003111,9
550659703003018,9
550659703003087,9
550659703003010,9
550659703003023,9
550659703003008,9
550659702001017,18
550659703003036,9
550659703003041,9
550659703003016,9
550659703003031,16
550659703003064,9
550659703003058,9
550659703003004,9
550659703003056,9
550659703003137,9
550659703003009,9
550659703003047,9
550659703003088,9
550659703003068,9
550659703003109,9
550659703003001,9
550659703003053,9
550659703003049,9
550659703003080,9
550659703003006,9
550659703003062,9
550659703003051,9
550659703003097,9
550659703003123,9
550659703003124,9
550659703003126,9
550659703003046,9
550659703003082,9
550659703003013,9
550659703003136,9
550659703003034,9
550659703003085,9
550659703003071,9
550659703003014,9
550659703003076,9
550659703003040,9
550659703003100,9
550659703003095,9
550659703003113,9
550659703003015,9
550659703003070,9
550659703003075,9
550659703003121,9
550659703003131,9
550499506004021,20
550499506004014,20
550499506004024,20
550499506004026,20
550499506004013,20
550499506004044,20
550499506004055,20
550499506004050,20
550499506004051,20
550499506004002,20
550499506004036,20
550499506004052,20
550499506004056,20
550499506004058,20
550499506004017,20
550499506004049,20
550499506004046,20
550499506004039,20
550499506004031,20
550499506004035,20
550499506004054,20
550499506004047,20
550499506004038,20
550499506004027,20
550499506004048,20
550499506004057,20
550499506004001,20
550499506004020,20
550499506004007,20
550499506004053,20
550499506004022,20
550499506004019,20
550499506004006,20
550499506004010,20
550499506004030,20
550499506004042,20
550499506004005,20
550499506004045,20
550499506004040,20
550499506004000,20
550499506004011,20
550499506004029,20
550499506004034,20
550499506004015,20
550499506004018,20
550499506004059,20
550499506004016,20
550499506004041,20
550499506004037,20
550499506004008,20
550499506004043,20
550499506004025,20
550499506004012,20
550499506004004,20
550499506004028,20
550499506004032,20
550499506004033,20
550499506004003,20
550499506004009,20
550499506004023,20
551039705001027,10
551039705001058,10
551039705001017,10
551039705001022,10
551039705001009,10
551039705001053,10
551039705001016,10
551039705001011,10
551039705001041,10
551039705001046,10
551039705001050,10
551039705001048,10
551039705001038,10
551039705001001,10
551039705001010,10
551039705001042,10
551039705001008,10
551039705001060,10
551039705001040,10
551039705001002,10
551039705001052,10
551039705001030,10
551039705001037,10
551039705001045,10
551039705001026,10
551039705001051,10
551039705001029,10
551039705001024,10
551039705001049,10
551039705001043,10
551039705001032,10
551039705001059,10
551039705001034,10
551039705001025,10
551039705001033,10
551039705001013,10
551039705001055,10
551039705001044,10
551039705001007,10
551039705001019,10
551039705001014,10
551039705001021,10
551039705001000,10
551039705001018,10
551039705001023,10
551039705001003,10
551039705001047,10
551039705001006,10
551039705001005,10
551039705001004,10
551039705001036,10
551039705001039,10
551039705001057,10
551039705001020,10
551039705001056,10
551039705001054,10
551039705001035,10
551039705001031,10
551039705001028,10
551039705001012,10
551039705001015,10
550659701003068,8
550659701003065,8
550659701003021,8
550659701003044,8
550659701003055,8
550659701003008,8
550659701003020,8
550659701003026,8
550659701003040,8
550659701003064,8
550659701003046,8
550659701003081,8
550659701003051,8
550659701003080,8
550659701003054,8
550659701003050,8
550659701003014,8
550659701003035,8
550659701003066,8
550659701003042,8
550659701003067,8
550659701003033,8
550659701003015,8
550659701003023,8
550659701003072,8
550659701003019,8
550659701003085,8
550659701003024,8
550659701003022,8
550659701003077,8
