GEOID20,count
551410105001005,12
551410105001015,7
551410105001018,7
551410105001001,7
551410105001008,7
551410105001017,7
551410105001014,7
551410105001016,7
551410106005007,17
551410105001020,7
551410105001000,7
551410105001007,7
551410105001002,7
551410105001004,7
551410105001010,7
551410105001022,7
551410105001012,7
551410105001019,7
551410105001009,7
551410105001013,7
551410106005006,17
551410105001021,7
551410105001003,7
551410105001011,7
551410106005008,22
551410105001006,7
550979604002022,7
550979604002016,7
550979604002021,7
550979604002023,7
550979604002014,7
550979604002018,7
550979604002025,7
550979604002020,7
550979604002007,7
550979604002009,7
550979604002004,7
550979604002002,7
550979604002001,7
550979604002008,7
550979604002010,7
550979604002000,7
550979604002017,7
550979604002006,7
550979604002011,7
550979604002003,7
550979604002005,7
550979604002019,7
550979604002024,7
550979604002012,7
550979604002013,7
550979604002015,7
550979604005007,7
550979604005011,7
550979604005001,7
550979604005016,7
550979604005015,7
550979604005006,7
550979604005010,7
550979604005009,7
550979604005000,7
550979604005008,7
550979604005014,7
550979604005012,7
550979603001018,15
550979604003033,9
550979604003032,9
550979604003034,9
550979604003016,9
550979604003019,9
550979604003004,9
550979604003030,9
550979604003009,9
550979604003012,9
550979604003027,9
550979604003005,9
550979604003031,9
550979604003026,9
550979604003015,9
550979604003020,9
550979604003021,9
550979604003013,9
550979604003029,9
550979604003025,9
550979604003007,9
550979604003001,9
550979604003002,19
550979604003035,9
550979604003006,9
550979604003000,9
550979604003014,9
550979604003018,9
550979604003017,16
550979604003011,9
550979604003028,9
550979604003010,9
550979604003008,9
550979604003003,9
550979609002012,7
550979609002000,7
550979609002008,7
550979609002009,7
550979609002011,7
550979609002022,7
550979609002018,7
550979609002017,7
550979609002023,7
550979609002024,7
550979609002020,7
550979609002007,7
550979609002002,7
550979609002016,7
550979609002025,7
550979609002014,7
550979609002006,7
550979609002019,7
550979609002001,7
550979609002015,7
550979609002010,7
550979609002013,7
550979609002003,7
550979609002004,7
550979609002005,7
550979609002021,7
550979609002026,7
551410105002016,7
551410105002013,7
551410105002006,7
551410105002025,7
551410105002007,7
551410105002020,7
551410105002024,7
551410105002028,7
551410105002005,7
551410105002015,7
551410105002009,7
551410105002021,7
551410105002023,7
551410105002018,7
551410105002008,7
551410105002019,7
551410105002014,7
551410105002012,7
551410105002027,7
551410105002022,7
551410105002010,7
551410105002002,7
551410105002000,7
551410105002017,7
551410105002003,7
551410105002001,7
551410105002026,7
551410105002004,7
551410105002011,7
550979604001007,7
550979604001016,7
550979604001020,7
550979604001000,7
550979604001008,7
550979604001011,7
550979604001018,7
550979604001001,7
550979604001003,7
550979604001017,7
550979604001002,7
550979604001006,7
550979604001009,7
550979604001004,7
550979604001019,7
550979604001012,7
550979604001014,7
550979604001021,7
550979604001005,7
550979604001010,7
550979604001015,7
550979604001013,7
551410107001023,8
551410107001032,8
