GEOID20,count
550790048003011,12
550790048003008,12
550790048003003,12
550790048003012,12
550790048003002,12
550790048003013,12
550790048003010,12
550790048003016,12
550790048003015,12
550790048003004,12
550790048003005,12
550790048003009,12
550790048003014,12
550790048003006,12
550790048003001,12
550790048003000,12
550790048003007,12
550790036002012,1
550790036002010,1
550790036002009,1
550790036001029,1
550790036002003,1
550790036002011,1
550790036002007,1
550790036002004,1
550790036002006,1
550790036002001,1
550790036002005,1
550790036002008,1
550790036002013,1
550790036002000,1
550790036002002,1
550790036002014,1
550790063002002,7
550790063002001,7
550790063002000,7
550790063002006,7
550790063002003,7
550790063002005,7
550790063002004,7
550790039003010,9
550790039003013,9
550790039003007,9
550790039003005,9
550790039003004,9
550790039003012,9
550790039003006,9
550790039003009,9
550790039003002,9
550790039003008,9
550790039003014,9
550790039003003,9
550790039003015,9
550790039003000,9
550790039003001,9
550790039003011,9
550790039001010,4
550790039001011,4
550790039001008,4
550790039001001,4
550790039001009,4
550790039001006,4
550790039001003,4
550790039001012,4
550790039001000,4
550790039001007,4
550790039001013,4
550790039001004,4
550790039001014,4
550790039001005,4
550790039001002,4
550790050004002,7
550790050004003,7
550790050004008,7
550790050004012,7
550790050004007,7
550790050004000,7
550790050004001,7
550790050004005,7
550790050004006,7
550790050004004,7
550790050004013,7
550790050004009,7
550790050004010,7
550790050004011,7
550790050003011,7
550790050003012,7
550790050003004,7
550790050003007,7
550790050003001,7
550790050003010,7
550790050003002,7
550790050003006,7
550790050003013,7
550790050003008,7
550790050003000,7
550790050003005,7
550790050003009,7
550790050003003,7
550790038002011,3
550790038002008,3
550790038002003,3
550790038002015,3
550790038002006,3
550790038002010,3
550790038002002,3
550790038002009,3
550790038002001,3
550790038002007,3
550790038002000,3
550790038002004,3
550790038002012,3
550790038002014,3
550790038002013,3
550790038002005,3
550790037002003,2
550790037002000,2
550790037002012,2
550790037002011,2
550790037002002,2
550790037002007,2
550790037002010,2
550790037002001,2
550790037002005,2
550790037002006,2
550790037002009,2
550790037002004,2
550790037002008,2
550790037001005,3
550790037001006,3
550790037001013,3
550790037001003,3
550790037001002,3
550790037001008,3
550790037001007,3
550790037001010,3
550790037001009,3
550790037001000,3
550790037001011,3
550790037001001,3
550790037001004,3
550790037001012,3
550790038003016,3
550790038003015,3
550790038003010,3
550790038003013,3
550790038003007,3
550790038003001,3
550790038003009,3
550790038003014,3
550790038003018,3
550790038003003,3
550790038003012,3
550790038003017,3
550790038003011,3
550790038003005,3
550790038003008,3
550790038003002,3
550790038003006,3
550790038003000,3
550790038003004,3
550790048001019,12
550790048001020,12
550790048001023,12
550790048001014,12
550790048001011,12
