GEOID20,count
551010014021008,11
551010014021005,11
551010014021015,11
551010014021017,11
551010014021000,11
551010014021004,11
551010014021006,11
551010014021016,11
551010014021009,11
551010014021007,11
551010014021013,11
551010014021011,11
551010015052001,22
551010014021014,11
551010014021002,11
551010014021003,11
551010014021012,11
551010014021010,11
551010014021001,11
551010016013001,8
551010016013000,8
551010016013009,8
551010016013006,8
551010016013020,8
551010016013023,8
551010016013025,8
551010016013011,8
551010016013004,8
551010016013002,8
551010016013014,8
551010016013008,8
551010016013021,8
551010016013005,8
551010016013012,8
551010016013018,8
551010016013010,8
551010016013003,8
551010016013007,8
551010016013016,8
551010016013017,8
551010016013019,8
551010016013013,8
551010016013024,8
551010016013015,8
551010016013022,8
551010016021000,13
551010016021005,13
551010016021006,13
551010016021016,13
551010016021024,13
551010016021008,13
551010016021009,13
551010017053000,20
551010016021007,13
551010016021014,13
551010016021029,13
551010016021020,13
551010016021018,13
551010016021001,13
551010016021012,13
551010016021034,13
551010016021021,13
551010016021031,13
551010016021032,13
551010016021002,13
551010016021017,13
551010016021028,20
551010016021022,13
551010016021013,13
551010016021010,13
551010016021015,13
551010016021019,13
551010016021033,13
551010016021004,13
551010016021003,13
551010016021026,13
551010016021025,13
551010016021030,13
551010016021011,13
551010016021023,13
551010014023002,11
551010014023005,11
551010014023007,11
551010014023004,11
551010014014001,11
551010014014003,11
551010014023003,11
551010014023006,11
551010014014002,11
551010014014006,11
551010014014004,11
551010014023001,11
551010014014000,11
551010014023000,11
551010014014005,11
551010015052008,11
551010015052013,11
551010015052006,11
551010015052011,11
551010015052002,11
551010015052016,11
551010015052004,11
551010015052000,21
551010015052015,11
551010015052009,11
551010015052003,11
551010015052010,11
551010015052007,11
551010015052005,11
551010015052012,11
551010015052014,11
551010015012000,8
551010015012012,8
551010015012002,8
551010015012015,8
551010015012005,8
551010015012003,8
551010015012013,8
551010015012004,8
551010015012001,8
551010015012008,8
551010015012009,8
551010015012010,8
551010015012007,8
551010015012006,8
551010015012014,8
551010015012011,8
551010016014010,7
551010016014002,7
551010016014024,7
551010016014028,7
551010016014021,7
551010016014001,7
551010016014008,7
551010016014025,7
551010016014012,7
551010016014023,7
551010016014018,7
551010016014007,7
551010016014006,7
551010016014014,7
551010016014017,7
551010016014005,7
551010016014029,7
551010016014000,7
551010016014003,7
551010016014013,7
551010016014027,7
551010016014011,7
551010016014030,7
551010016014009,7
551010016014026,7
551010016014015,7
551010016014016,7
551010016014019,7
551010016014020,7
551010016014022,7
551010016014004,7
551010015013002,8
551010015013013,8
551010015013000,8
551010015013005,8
551010015013007,8
551010015013012,8
551010015013001,8
551010015013015,8
551010015013006,8
551010015013004,8
551010015013003,8
551010015013010,8
551010015013008,8
551010015013016,8
551010015013014,8
551010015013011,8
551010015013009,8
551010014023017,11
551010014022012,11
551010014023020,11
551010014022014,11
551010014023019,11
551010014023021,11
551010014023018,11
551010014022002,11
551010014023022,11
551010014023023,11
551010014022013,11
551010014022015,11
551010015051000,10
551010015051001,10
551010015051019,10
551010015051020,10
551010015051013,10
551010015051003,10
551010015051002,10
551010015051014,10
551010015051007,10
551010015051018,10
551010015051012,10
551010015051011,10
551010015051010,10
551010015051016,10
551010015051015,10
551010015051009,10
551010015051004,10
551010015051017,10
551010015051005,10
551010015051006,10
551010015051008,10
551010014014011,12
551010014023015,12
551010014023010,12
551010014014010,12
551010014023013,12
551010014014008,12
551010014023008,12
551010014014012,12
551010014023011,12
551010014023012,12
551010014014007,12
551010014023009,12
551010014014009,12
551010014023014,12
551010014023016,12
551010015062009,8
551010015062005,8
551010015062007,8
551010015062003,8
551010015062006,8
551010015062001,8
551010015062004,8
551010015062008,8
551010015062010,8
551010015062000,8
551010015062002,8
551010015011020,5
551010015011012,5
551010015011010,5
551010015011013,5
551010015011006,5
551010015011011,5
551010015011015,5
551010015011007,5
551010015011003,5
551010015011004,5
551010015011009,5
551010015011021,5
551010015011000,5
551010015011005,5
551010015011016,5
551010015011024,5
551010015011008,5
551010015011001,5
551010015011019,5
551010015011002,5
551010015011018,5
551010015011017,5
551010015011022,5
551010015011014,5
551010015011023,5
551010016022032,13
551010016022014,13
551010016022013,13
551010016022015,13
551010016022022,13
551010016022025,13
551010016022004,13
551010016022024,13
551010016022003,13
551010016022005,13
551010016022033,13
551010016022036,13
551010016022006,13
551010016022021,13
551010016022010,13
551010016022009,13
551010016022012,13
551010016022029,13
551010016022026,13
551010016022008,13
551010016022001,13
551010016022017,13
551010016022034,13
551010016022018,13
551010016022028,13
551010016022007,13
551010016022020,13
551010016022019,13
551010016022016,13
551010016022037,13
551010016022027,13
551010016022000,13
551010016022038,13
551010016022030,13
551010016022011,13
551010016022023,13
551010016022035,13
551010016022031,13
551010016022002,13
551010016011035,6
551010016011026,6
551010016011001,6
551010016011019,6
551010016011012,6
551010016011007,6
551010016011021,6
551010016011018,6
551010016011039,6
551010016011017,6
551010016011025,6
551010016011032,6
551010019001003,9
551010016011009,6
551010016011029,6
551010019001005,6
551010016011036,6
551010019002000,6
551010016011024,6
551010016011002,6
551010016011000,6
551010019001004,6
551010016011006,6
551010016011020,6
551010016011037,6
551010016011034,6
551010016011010,6
551010016011014,6
551010019003023,6
551010016011004,6
551010016011023,6
551010019003000,6
551010016011013,6
551010016011033,6
551010016011038,6
551010016011008,6
551010016011030,6
551010016011031,6
551010016011005,6
551010016011015,6
551010016011016,6
551010016011011,6
551010016011028,6
551010017031000,13
551010016011003,6
551010016011022,6
551010019002001,6
551010016011040,6
551010016011027,6
551010015053000,11
551010015053002,11
551010015053001,11
551010014022006,11
551010014022005,11
551010014022011,11
551010014022004,11
551010014022008,11
551010014022009,11
551010014022010,11
551010014022003,11
551010014022001,11
551010014022007,11
551010015042019,11
551010015042009,11
551010015042000,11
551010015042015,11
551010015042016,11
551010015042014,11
551010015042013,11
551010015042003,11
551010015042010,11
551010015042018,11
551010015042011,11
551010015042008,11
551010015042001,11
551010015042007,11
551010015042006,11
551010015042004,11
551010015042002,11
551010015042005,11
551010015042012,11
551010015042017,11
551010016012012,7
551010016012019,7
551010016012008,7
551010016012009,7
551010016012006,7
551010016012013,7
551010016012005,7
551010016012010,7
551010016012022,7
551010016012020,7
551010016012000,7
551010016012004,7
551010016012014,7
551010016012003,7
551010016012016,7
551010016012011,7
551010016012021,7
551010016012007,7
551010016012015,7
551010016012001,7
551010016012018,7
551010016012002,7
551010016012017,7
551010015041002,9
551010015041007,9
551010015041000,9
551010015041003,9
551010015041006,9
551010015041016,9
551010015041004,9
551010015041015,9
551010015041005,9
551010015041010,9
551010015041013,9
551010015041008,9
551010015041011,9
551010015041014,9
551010015041012,9
551010015041017,9
551010015041009,9
551010015041001,9
551010015063005,12
551010015063000,12
551010015063003,12
551010015063009,12
551010015063006,12
551010015063004,12
551010015063008,12
551010015063001,12
551010015063002,12
551010015063010,12
551010015063007,12
551010015073003,12
551010015073001,12
551010015073008,12
551010015073002,12
551010015073000,12
551010015073006,12
551010015073005,12
551010015073009,12
551010015073007,12
551010015073010,12
551010015073004,12
551010006003001,11
551010006003006,11
551010006003007,11
551010006003009,11
551010006003004,11
551010006003003,11
551010006003002,11
551010006003008,11
551010006003000,11
551010006003005,11
551010005004003,11
551010005004007,11
551010005004008,11
551010005004001,11
551010005003011,22
551010005004004,11
551010005004005,11
551010005004006,11
551010005004002,11
551010005004000,11
551010012024012,11
551010012024026,11
551010012024014,11
551010012024005,11
551010012024022,11
551010012024024,11
551010012024021,11
551010012024006,11
551010012024017,11
551010012024013,11
551010012024010,11
551010012024019,11
551010012024025,11
551010012024015,11
551010012024020,11
551010012024027,11
551010012024016,11
551010012024023,11
551010012024018,11
551010004003007,12
551010004003004,12
551010004003008,12
551010004003003,12
551010004003005,12
551010004003002,12
551010004003001,12
551010004003006,12
551010004003014,12
551010004003000,12
551010004003011,12
551010004003009,12
551010004003010,12
551010004003012,12
551010004003013,12
551010004003015,12
551010002002007,12
551010002002004,12
551010002002003,12
551010002002013,12
551010002002014,12
551010002002006,12
551010002002009,12
